utterance|intent|domain|dialogue_id
what expression would i use to say i love you if i were an italian|translate|travel|single_sen
can you tell me how to say 'i do not speak much spanish', in spanish|translate|travel|single_sen
what is the equivalent of, 'life is good' in french|translate|travel|single_sen
tell me how to say, 'it is a beautiful morning' in italian|translate|travel|single_sen
if i were mongolian, how would i say that i am a tourist|translate|travel|single_sen
how do i say 'hotel' in finnish|translate|travel|single_sen
i need you to translate the sentence, 'we will be there soon' into portuguese|translate|travel|single_sen
please tell me how to ask for a taxi in french|translate|travel|single_sen
can you tell me how i would say, 'more bread please' in french|translate|travel|single_sen
what is the correct way to say 'i am a visitor' in french|translate|travel|single_sen
how would i say, 'i don't know the answer' in spanish|translate|travel|single_sen
i would like to know the proper way to greet an adult in portuguese|translate|travel|single_sen
what words would i use to tell someone i am lost if i were japanese|translate|travel|single_sen
how would i say thank you if i were russian|translate|travel|single_sen
can you tell me how i would normally say thank you as a french person|translate|travel|single_sen
i would like to know how to say hello in french|translate|travel|single_sen
if i were english how would i say subway|translate|travel|single_sen
i would i say subway if i were english|translate|travel|single_sen
how do you say hi in french|translate|travel|single_sen
in england how do they say subway|translate|travel|single_sen
translate hello in french|translate|travel|single_sen
how is hello said in french|translate|travel|single_sen
what do you call a subway if you were english|translate|travel|single_sen
how would i say if i were english subway|translate|travel|single_sen
how should i say hello in french|translate|travel|single_sen
how could i say twin in chinese|translate|travel|single_sen
how can i say not now in spanish|translate|travel|single_sen
what do spanish people say for the word cow|translate|travel|single_sen
translate hello to english|translate|travel|single_sen
how do you say goodbye in spanish|translate|travel|single_sen
how would i say love in french|translate|travel|single_sen
could you translate atm machine into english|translate|travel|single_sen
please translate grocery into french for me|translate|travel|single_sen
how do germans say goodnight|translate|travel|single_sen
tell me how the russians say notebook|translate|travel|single_sen
how do vietnameses people say hello|translate|travel|single_sen
how do i say thank you in japanese|translate|travel|single_sen
what is latin for i love you|translate|travel|single_sen
how can i thank somebody in italian|translate|travel|single_sen
how do i say you're welcome in chinese|translate|travel|single_sen
translate hello english to french|translate|travel|single_sen
what is hello in french|translate|travel|single_sen
what phrase means goodbye in hawaii|translate|travel|single_sen
what spanish word means hello|translate|travel|single_sen
translate hello to french|translate|travel|single_sen
translate english to french hello|translate|travel|single_sen
what is the word for hello spanish|translate|travel|single_sen
how do they say goodbye in hawaii|translate|travel|single_sen
what's local slang for goodbye in hawaii|translate|travel|single_sen
how do you say hello in french|translate|travel|single_sen
tell me how to say hello in spanish|translate|travel|single_sen
what do i say for goodbye in hawaii|translate|travel|single_sen
translate hello into french for me|translate|travel|single_sen
how do i say hello in french|translate|travel|single_sen
translate for me hello into french|translate|travel|single_sen
how would they say say goodbye in hawaii|translate|travel|single_sen
what is spanish for hello|translate|travel|single_sen
how would i say hello in french|translate|travel|single_sen
how can i say i love you in italy|translate|travel|single_sen
what is spanish for good morning|translate|travel|single_sen
how do you say it's snowing in german|translate|travel|single_sen
how would you say can i borrow five dollars in portuguese|translate|travel|single_sen
do you know how to say where is the restroom in french|translate|travel|single_sen
how would i say pleased to meet you if i were japanese|translate|travel|single_sen
can you translate hello into swedish for me|translate|travel|single_sen
can you translate i love you into french for me|translate|travel|single_sen
can you translate where's the bar into irish for me|translate|travel|single_sen
how would i say goodbye if i were norwegian|translate|travel|single_sen
how would i say i love you if i were french|translate|travel|single_sen
how would i say hello if i were swedish|translate|travel|single_sen
can you translate good bye into russian for me|translate|travel|single_sen
can you translate i have to go pee into korean for me|translate|travel|single_sen
how would i say i'm not guilty if i were mexican|translate|travel|single_sen
how do you say thank you in spanish|translate|travel|single_sen
how does one say thank you in spanish|translate|travel|single_sen
how can i say thank you in spanish|translate|travel|single_sen
what is thank you in spanish|translate|travel|single_sen
what is the way to say thank you in spanish|translate|travel|single_sen
"how do they say ""who is your father"" in german"|translate|travel|single_sen
"how do they say ""where's the bathroom"" in spanish"|translate|travel|single_sen
"how do they say ""how's it going"" in swahili"|translate|travel|single_sen
"how do they say ""i love you"" in japanese"|translate|travel|single_sen
"how do they say ""what's up"" in chinese"|translate|travel|single_sen
how do you say thank you in german|translate|travel|single_sen
how do you say please in arabic|translate|travel|single_sen
how do you say cat in spanish|translate|travel|single_sen
how do you say i'm hungry in french|translate|travel|single_sen
how do you say i need coffee in dutch|translate|travel|single_sen
how do they say yes in brazil|translate|travel|single_sen
can you translate cat into russian for me|translate|travel|single_sen
can you translate bowl into russian for me|translate|travel|single_sen
how do they say hello in france|translate|travel|single_sen
i wanna know a phrase in spanish|translate|travel|single_sen
can you translate bat into russian for me|translate|travel|single_sen
how do they say no in germany|translate|travel|single_sen
can you translate hi into spanish for me|translate|travel|single_sen
i wanna learn a phrase in russian|translate|travel|single_sen
how do they say hello in germany|translate|travel|single_sen
can you translate milk into spanish for me|translate|travel|single_sen
how do they say hello in brazil|translate|travel|single_sen
i need $20000 transferred from my savings to my checking|transfer|banking|single_sen
complete a transaction from savings to checking of $20000|transfer|banking|single_sen
transfer $20000 from my savings account to checking account|transfer|banking|single_sen
take $20000 from savings and put it in checking|transfer|banking|single_sen
put $20000 into my checking account from my savings account|transfer|banking|single_sen
send 100 dollars between bank of the west and bank of america acccounts|transfer|banking|single_sen
send 50 dollars between bank of america and chase accounts|transfer|banking|single_sen
send 2000 dollars between chase and rabobank accounts|transfer|banking|single_sen
send 1200 dollars between usaa and navy federal accounts|transfer|banking|single_sen
send 400 dollars between city bank and usaa accounts|transfer|banking|single_sen
take $40 and transfer it to account a from b|transfer|banking|single_sen
transfer $40 from account a to b|transfer|banking|single_sen
move $40 from account b to account a|transfer|banking|single_sen
put $40 from account a to b|transfer|banking|single_sen
take $40 from account a and transfer it to account b|transfer|banking|single_sen
i need to transfer from this account to that one|transfer|banking|single_sen
need to transfer from one account to my other one|transfer|banking|single_sen
i would like to transfer from one account to my second one|transfer|banking|single_sen
i need to transfer from one account to my second one|transfer|banking|single_sen
i have to transfer from one account to my other one|transfer|banking|single_sen
