utterance|intent|domain|dialogue_id
tell me time of alarm you set|alarm_query|HWU64|single_sen
list all of my alarms|alarm_query|HWU64|single_sen
alarm settings|alarm_query|HWU64|single_sen
what alarms are set for today|alarm_query|HWU64|single_sen
please see see for me the alarms that you have set sunday morning|alarm_query|HWU64|single_sen
tell me when the next alarms are for|alarm_query|HWU64|single_sen
please tell me what alarms are on|alarm_query|HWU64|single_sen
please list all my alarms|alarm_query|HWU64|single_sen
what alarms are set right now|alarm_query|HWU64|single_sen
check whether i have set any alarms for tomorrow morning|alarm_query|HWU64|single_sen
tell me about my alarms|alarm_query|HWU64|single_sen
do i have any alarms set|alarm_query|HWU64|single_sen
is there an alarm at four am|alarm_query|HWU64|single_sen
show me my alarms|alarm_query|HWU64|single_sen
what alarm time had you set|alarm_query|HWU64|single_sen
can you tell me what alarms i have set|alarm_query|HWU64|single_sen
please let me know the morning alarm time kept for weekends|alarm_query|HWU64|single_sen
what time is the alarm set for tomorrow|alarm_query|HWU64|single_sen
may i know the about alarm you set|alarm_query|HWU64|single_sen
disable the alarm which is set at nine thirty pm|alarm_remove|HWU64|single_sen
delete scheduled alarm|alarm_remove|HWU64|single_sen
turn off my first alarm|alarm_remove|HWU64|single_sen
please cancel all alarms for tomorrow|alarm_remove|HWU64|single_sen
please delete the wednesday evening alarm|alarm_remove|HWU64|single_sen
please delete my morning alarm|alarm_remove|HWU64|single_sen
remove all of my alarms|alarm_remove|HWU64|single_sen
cancel alarm|alarm_remove|HWU64|single_sen
delete the alarm i just set|alarm_remove|HWU64|single_sen
could you please remove the set of alarms between eight and nine|alarm_remove|HWU64|single_sen
please turn off the alarm|alarm_remove|HWU64|single_sen
set an alarm for nine am|alarm_set|HWU64|single_sen
change alarm to start at midnight|alarm_set|HWU64|single_sen
alarm ten am|alarm_set|HWU64|single_sen
set an alarm for me for tomorrow|alarm_set|HWU64|single_sen
set an alarm for twelve|alarm_set|HWU64|single_sen
set a timer at five am seven days a week|alarm_set|HWU64|single_sen
i need to set an alarm for next friday at noon|alarm_set|HWU64|single_sen
please sound an alarm three hours before a scheduled event|alarm_set|HWU64|single_sen
can you set an alarm for seven am|alarm_set|HWU64|single_sen
alert me at ten am please|alarm_set|HWU64|single_sen
set the alarm to seven am for work|alarm_set|HWU64|single_sen
wake up time|alarm_set|HWU64|single_sen
change my alarms to mountain time|alarm_set|HWU64|single_sen
set up each day an alarm at ten time for my meal|alarm_set|HWU64|single_sen
please set an alarm clock for my next meeting with the team at three pm next friday|alarm_set|HWU64|single_sen
set my alarm for six am|alarm_set|HWU64|single_sen
set an alarm for this eight hundred pm this evening|alarm_set|HWU64|single_sen
set alarm at six thirty am|alarm_set|HWU64|single_sen
make me a wake up alarm for eight forty five am|alarm_set|HWU64|single_sen
could you please lower the tone|audio_volume_down|HWU64|single_sen
please talk softer|audio_volume_down|HWU64|single_sen
lower the speak volume|audio_volume_down|HWU64|single_sen
it is too loud decrease the volume|audio_volume_down|HWU64|single_sen
turn down volume|audio_volume_down|HWU64|single_sen
reduce volume|audio_volume_down|HWU64|single_sen
lower the volume to twenty|audio_volume_down|HWU64|single_sen
lower volume by fifty percent|audio_volume_down|HWU64|single_sen
quiet please|audio_volume_mute|HWU64|single_sen
mute sound from speakers|audio_volume_mute|HWU64|single_sen
please mute for five minutes|audio_volume_mute|HWU64|single_sen
mute my speakers for a minute here i need to make a call|audio_volume_mute|HWU64|single_sen
mute speaker|audio_volume_mute|HWU64|single_sen
