utterance|intent|domain|dialogue_id
i want to fly from boston at 838 am and arrive in denver at 1110 in the morning|flight|airplane|single_sen
what flights are available from pittsburgh to baltimore on thursday morning|flight|airplane|single_sen
what is the arrival time in san francisco for the 755 am flight leaving washington|flight_time|airplane|single_sen
cheapest airfare from tacoma to orlando|airfare|airplane|single_sen
round trip fares from pittsburgh to philadelphia under 1000 dollars|airfare|airplane|single_sen
i need a flight tomorrow from columbus to minneapolis|flight|airplane|single_sen
what kind of aircraft is used on a flight from cleveland to dallas|aircraft|airplane|single_sen
show me the flights from pittsburgh to los angeles on thursday|flight|airplane|single_sen
all flights from boston to washington|flight|airplane|single_sen
what kind of ground transportation is available in denver|ground_service|airplane|single_sen
show me the flights from dallas to san francisco|flight|airplane|single_sen
show me the flights from san diego to newark by way of houston|flight|airplane|single_sen
what 's the airport at orlando|airport|airplane|single_sen
what is the cheapest flight from boston to bwi|flight|airplane|single_sen
all flights to baltimore after 6 pm|flight|airplane|single_sen
show me the first class fares from boston to denver|airfare|airplane|single_sen
show me the ground transportation in denver|ground_service|airplane|single_sen
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm|flight|airplane|single_sen
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore|flight|airplane|single_sen
please give me the flights from boston to pittsburgh on thursday of next week|flight|airplane|single_sen
i would like to fly from denver to pittsburgh on united airlines|flight|airplane|single_sen
show me the flights from san diego to newark|flight|airplane|single_sen
please list all first class flights on united from denver to baltimore|flight|airplane|single_sen
what kinds of planes are used by american airlines|aircraft|airplane|single_sen
i 'd like to have some information on a ticket from denver to pittsburgh and atlanta|airfare|airplane|single_sen
i 'd like to book a flight from atlanta to denver|flight|airplane|single_sen
which airline serves denver pittsburgh and atlanta|airline|airplane|single_sen
show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm|flight|airplane|single_sen
atlanta ground transportation|ground_service|airplane|single_sen
i also need service from dallas to boston arriving by noon|flight|airplane|single_sen
show me the cheapest round trip fare from baltimore to dallas|airfare|airplane|single_sen
show me all flights from new york to milwaukee on northwest airlines departing at 720 am|flight|airplane|single_sen
flights from new york to miami|flight|airplane|single_sen
please find a flight on delta from philadelphia to san francisco and give me the flight numbers|flight|airplane|single_sen
i need a flight from dallas to san francisco|flight|airplane|single_sen
fares and flights from pittsburgh to philadelphia|airfare|airplane|single_sen
show me the airlines with first class flights|airline|airplane|single_sen
what are the flights from st. louis to burbank sunday evening|flight|airplane|single_sen
i 'd like to arrange a flight from pittsburgh to atlanta|flight|airplane|single_sen
show flights from baltimore to san francisco between 6 pm and 8 pm on friday|flight|airplane|single_sen
how far is it from orlando airport to orlando|distance|airplane|single_sen
i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december|flight|airplane|single_sen
which airline has the most arrivals in atlanta|airline|airplane|single_sen
what airlines fly from new york to milwaukee to los angeles|airline|airplane|single_sen
pittsburgh to denver|flight|airplane|single_sen
which airlines serve atlanta|airline|airplane|single_sen
show me information on ground transportation for dallas|ground_service|airplane|single_sen
what is fare code h|abbreviation|airplane|single_sen
show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon|flight|airplane|single_sen
i need a flight from charlotte to newark leaving today evening|flight|airplane|single_sen
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh|flight_time|airplane|single_sen
flights from newark to cleveland|flight|airplane|single_sen
what flights go from boston to pittsburgh after 6 o'clock next tuesday|flight|airplane|single_sen
how much does the limousine service cost within pittsburgh|ground_fare|airplane|single_sen
does us air have any flights out of atlanta to denver|flight|airplane|single_sen
what is booking class c|abbreviation|airplane|single_sen
i 'd like to know the shortest trip between boston and san francisco|flight|airplane|single_sen
i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday|flight|airplane|single_sen
what is the least expensive flight from denver to atlanta|flight|airplane|single_sen
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta|flight|airplane|single_sen
what flight goes from denver to baltimore first class on united airlines arriving on may seventh|flight|airplane|single_sen
could you please tell me the airlines that fly from toronto to san diego|airline|airplane|single_sen
what flights do you have from burbank to tacoma washington|flight|airplane|single_sen
what is the ground transportation from philadelphia airport to the city proper|ground_service|airplane|single_sen
which airlines have first class flights today|airline|airplane|single_sen
find the latest flight from san francisco to atlanta that serves a meal|flight|airplane|single_sen
i would like to make a reservation for a flight to denver from philadelphia on this coming sunday|flight|airplane|single_sen
give me a list of airports in baltimore|airport|airplane|single_sen
show me flights from boston to denver on wednesday|flight|airplane|single_sen
show me the flights from boston to baltimore|flight|airplane|single_sen
what does fare code q mean|abbreviation|airplane|single_sen
please give me the flights from san francisco to washington dc|flight|airplane|single_sen
i need information from denver to pittsburgh|flight|airplane|single_sen
from seattle to salt lake city|flight|airplane|single_sen
what is the earliest flight from boston to bwi that serves a snack|flight|airplane|single_sen
what types of aircraft does delta fly|aircraft|airplane|single_sen
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth|airfare|airplane|single_sen
give me the flights leaving denver august ninth coming back to boston|flight|airplane|single_sen
list all the flights that fly into general mitchell international|flight|airplane|single_sen
what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday|flight|airplane|single_sen
list all flights from indianapolis to seattle|flight|airplane|single_sen
in flight meal oakland to philadelphia saturday|flight|airplane|single_sen
show me the flights on twa from atlanta in the morning|flight|airplane|single_sen
i want to find the first flight from baltimore to boston that serves a meal|flight|airplane|single_sen
of all airlines which airline has the most arrivals in atlanta|airline|airplane|single_sen
display all flights from baltimore to boston on july twenty ninth|flight|airplane|single_sen
i want to travel from atlanta to baltimore early in the morning first flight|flight|airplane|single_sen
i now need a flight from san jose to houston leaving on sunday the fourth|flight|airplane|single_sen
what are the flights available after 6 pm between san francisco and boston|flight|airplane|single_sen
what flights depart baltimore on friday and arrive in san francisco by 8 pm|flight|airplane|single_sen
show me flights from boston to san francisco|flight|airplane|single_sen
list the delta airlines flights from boston to philadelphia|flight|airplane|single_sen
show me the fares from dallas to san francisco|airfare|airplane|single_sen
what nonstop flights between boston and washington arrive after 4 o'clock pm|flight|airplane|single_sen
what is the distance from los angeles international airport to los angeles|distance|airplane|single_sen
ground transportation in san jose|ground_service|airplane|single_sen
please tell me how many nonstop flights there are from boston to atlanta|quantity|airplane|single_sen
on the earliest flight from san francisco to atlanta on delta is a meal being served|flight|airplane|single_sen
where does canadian airlines international fly|flight|airplane|single_sen
what flights from denver to pittsburgh arrive before 8 in the morning|flight|airplane|single_sen
find me the earliest flight from boston to atlanta|flight|airplane|single_sen
list nonstop flights from houston to dallas which arrive before midnight|flight|airplane|single_sen
show me the flights from boston to san francisco that stop in atlanta|flight|airplane|single_sen
show me flights to san francisco from philadelphia stopping in dallas|flight|airplane|single_sen
what city is the airport mco in|city|airplane|single_sen
how much does it cost to rent a car in tacoma|ground_fare|airplane|single_sen
show me flights from baltimore to dallas|flight|airplane|single_sen
show me a list of ground transportation at denver|ground_service|airplane|single_sen
i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available|flight|airplane|single_sen
also show me flights from san francisco to pittsburgh on tuesday|flight|airplane|single_sen
show flights from dallas to oakland|flight|airplane|single_sen
give me the cheapest flight from charlotte to long beach|flight|airplane|single_sen
show me all flights from san francisco to pittsburgh|flight|airplane|single_sen
find me a flight on united from boston to san francisco with a stopover in denver|flight|airplane|single_sen
show me the last flight from love field|flight|airplane|single_sen
what flights go from newark to boston after 5 pm|flight|airplane|single_sen
what are all the flights from boston to dallas|flight|airplane|single_sen
what is the earliest flight departing san francisco and arriving in boston on november ninth|flight|airplane|single_sen
what is the earliest flight flying from pittsburgh to atlanta on july fifth|flight|airplane|single_sen
please list available flights for next saturday from philadelphia to dallas|flight|airplane|single_sen
what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday|flight|airplane|single_sen
what is the transportation time from the airport to boston|ground_service|airplane|single_sen
which airline has the smallest plane leaving pittsburgh and arriving in baltimore on july fourth|airline|airplane|single_sen
what are the nonstop flights on america west or southwest air from kansas city to burbank on saturday may twenty two|flight|airplane|single_sen
what are the classes of service for american airlines|flight|airplane|single_sen
