utterance|intent|domain|dialogue_id
how do i locate my card?|card_arrival|BANKING77|single_sen
i still have not received my new card, i ordered over a week ago.|card_arrival|BANKING77|single_sen
i ordered a card but it has not arrived. help please!|card_arrival|BANKING77|single_sen
is there a way to know when my card will arrive?|card_arrival|BANKING77|single_sen
my card has not arrived yet.|card_arrival|BANKING77|single_sen
when will i get my card?|card_arrival|BANKING77|single_sen
do you know if there is a tracking number for the new card you sent me?|card_arrival|BANKING77|single_sen
i have not received my card|card_arrival|BANKING77|single_sen
still waiting on that card|card_arrival|BANKING77|single_sen
is it normal to have to wait over a week for my new card?|card_arrival|BANKING77|single_sen
how do i track my card?|card_arrival|BANKING77|single_sen
how long does a card delivery take?|card_arrival|BANKING77|single_sen
i still don't have my card after 2 weeks.  what should i do?|card_arrival|BANKING77|single_sen
still waiting on my new card|card_arrival|BANKING77|single_sen
i am still waiting for my card after 1 week.  is this ok?|card_arrival|BANKING77|single_sen
i have been waiting longer than expected for my bank card, could you provide information on when it will arrive?|card_arrival|BANKING77|single_sen
i've been waiting longer than expected for my card.|card_arrival|BANKING77|single_sen
why hasn't my card been delivered?|card_arrival|BANKING77|single_sen
where is my new card? i have been waiting a week!|card_arrival|BANKING77|single_sen
my card still hasn't arrived after 2 weeks. is it lost?|card_arrival|BANKING77|single_sen
i did not get my card yet, is it lost?|card_arrival|BANKING77|single_sen
status of the card i ordered.|card_arrival|BANKING77|single_sen
how long should my new card take to arrive?|card_arrival|BANKING77|single_sen
i ordered my card 2 weeks ago and it still isn't here? what do i do?|card_arrival|BANKING77|single_sen
my card has not arrived yet, where is it?|card_arrival|BANKING77|single_sen
what is the tracking number for my card that was mailed?|card_arrival|BANKING77|single_sen
i think something went wrong with my card delivery as i haven't received it yet.|card_arrival|BANKING77|single_sen
i'm still waiting for delivery of my new card, why is it taking so long?|card_arrival|BANKING77|single_sen
i ordered a card a week ago, and it's still not here. what do i do?|card_arrival|BANKING77|single_sen
i want to track the card you sent|card_arrival|BANKING77|single_sen
my card hasn't arrived yet.|card_arrival|BANKING77|single_sen
i was expecting my new card and am wondering why i haven't received it yet?|card_arrival|BANKING77|single_sen
how do i know when my card will arrive?|card_arrival|BANKING77|single_sen
i'm still waiting on my card to be delivered.|card_arrival|BANKING77|single_sen
does the card you sent have a way to track to it?|card_arrival|BANKING77|single_sen
i ordered a card and i still haven't received it. it's been two weeks. what can i do?|card_arrival|BANKING77|single_sen
i'm starting to think my card is lost because it still hasn't arrived, can you help?|card_arrival|BANKING77|single_sen
is there tracking info available?|card_arrival|BANKING77|single_sen
what is the tracking number for the card you sent?|card_arrival|BANKING77|single_sen
where is the tracking number for the card you sent me?|card_arrival|BANKING77|single_sen
why won't my card show up on the app?|card_linking|BANKING77|single_sen
i would like to reactivate my card.|card_linking|BANKING77|single_sen
where do i link the new card?|card_linking|BANKING77|single_sen
i have received my card, can you help me put it in the app?|card_linking|BANKING77|single_sen
how do i link a card that i already have?|card_linking|BANKING77|single_sen
i received my new card, but i don't see it in the app anywhere.  what do i do?|card_linking|BANKING77|single_sen
how do i re-add a card to the app?|card_linking|BANKING77|single_sen
how do i add the card to my account?|card_linking|BANKING77|single_sen
can i put my old card back into the system? i just found it/|card_linking|BANKING77|single_sen
i have one of your cards already, how do i link it?|card_linking|BANKING77|single_sen
how do i link a new card?|card_linking|BANKING77|single_sen
can i link an existing card?|card_linking|BANKING77|single_sen
how do i link one your card if i have one already?|card_linking|BANKING77|single_sen
how do i add a card to the app?|card_linking|BANKING77|single_sen
can i link my new card?|card_linking|BANKING77|single_sen
hello, i found the card i misplaced and i need to reactive it, how do i do that?|card_linking|BANKING77|single_sen
can you tell me how to link one of your cards that i already have?|card_linking|BANKING77|single_sen
how do i view the card i received in the app?|card_linking|BANKING77|single_sen
where on the website do i go to link my card?|card_linking|BANKING77|single_sen
i found my card, can i add it to the app?|card_linking|BANKING77|single_sen
how do i link to my credit card with you?|card_linking|BANKING77|single_sen
i've received my card so now i need to know how to sync it to the app.|card_linking|BANKING77|single_sen
i found my card, i would like to reactivate it.|card_linking|BANKING77|single_sen
how do i link this new card?|card_linking|BANKING77|single_sen
can i reactivate my lost card that i found this morning in my jacket pocket?|card_linking|BANKING77|single_sen
how do i link an already existing card?|card_linking|BANKING77|single_sen
the app doesn't show the card i received.|card_linking|BANKING77|single_sen
